age,triangle,sex,region,time,count
56,Upper,Female,d. Kommune Kujalleq,2011,0
57,Lower,Female,d. Kommune Kujalleq,2011,0
57,Upper,Female,d. Kommune Kujalleq,2011,0
58,Lower,Female,d. Kommune Kujalleq,2011,0
58,Upper,Female,d. Kommune Kujalleq,2011,1
59,Lower,Female,d. Kommune Kujalleq,2011,0
59,Upper,Female,d. Kommune Kujalleq,2011,0
60,Lower,Female,d. Kommune Kujalleq,2011,0
60,Upper,Female,d. Kommune Kujalleq,2011,0
61,Lower,Female,d. Kommune Kujalleq,2011,0
61,Upper,Female,d. Kommune Kujalleq,2011,0
62,Lower,Female,d. Kommune Kujalleq,2011,2
